Vendedor;Produto;Código;Qtde;Preço Médio;Valor;Frete;Desconto;Outras despesas;Total Venda;Custo;Lucro
rafaela araujo  ;Relogio Invicta;;2;230,00;460;0;60;0;400;200;200
rafaela araujo  ;Relógio Pointer;;4;90,00;360;0;0;0;360;0;-
rafaela araujo  ;Relogio Rolex;;2;190,00;380;0;5,9;0;374,1;120;254,1
rafaela araujo  ;Relogio Xufeng;;5;66,00;330;0;18;0;312;150;162
rafaela araujo  ;Relogio Yakuyza;;2;143,00;286;0;21,45;0;264,55;70;194,55
rafaela araujo  ;Sandalia Premium;;3;40,00;120;0;8,46;0;111,54;54;57,54
rafaela araujo  ;Seda Bem Bolado;;5;5,00;25;0;1,56;0;23,44;0;-
rafaela araujo  ;Seda Blunt;;6;10,00;60;0;1,6;0;58,4;60;-1,6
rafaela araujo  ;Seda Zomo;;2;3,00;6;0;0;0;6;3;3
rafaela araujo  ;Short Cargo;;2;77,00;154;0;13,82;0;140,18;0;-
rafaela araujo  ;Short Cargo Premium;;2;110,00;220;0;21,19;0;198,81;100;98,81
rafaela araujo  ;Short Dri-fit Premium;;35;88,00;3080;0;216,78;0;2863,22;0;-
rafaela araujo  ;Short Impermeável;;4;55,00;220;0;22,2;0;197,8;92;105,8
rafaela araujo  ;Short Jeans Premium;;40;82,00;3280;0;211,54;0;3068,46;1400;1.668,46
rafaela araujo  ;Short Linho premium;;4;66,00;264;0;24,45;0;239,55;120;119,55
rafaela araujo  ;spy cara de gato;;1;55,00;55;0;5;0;50;23;27
rafaela araujo  ;Spy Premium;;3;55,00;165;0;15,24;0;149,76;69;80,76
rafaela araujo  ;Spy Simples;;2;44,00;88;0;5,14;0;82,86;30;52,86
rafaela araujo  ;Tênis;;1;100,00;100;0;4,46;0;95,54;40;55,54
rafaela araujo  ;Tênis Air Force;;2;93,00;186;0;16,68;0;169,32;74;95,32
Vinicius  ;Anel Moeda Antiga;;4;55,00;220;0;16,86;0;203,14;140;63,14
